time 	curr	srvc	payld	bdw	NoC	InPort	target_router
16643	0	31	2	2	1	L	0
16651	256	31	2	2	1	L	0
16653	0	31	2	2	1	E	0
16653	0	29	2	2	2	L	0
16663	0	29	2	2	2	L	256
16665	256	29	2	2	2	W	256
16996	0	36	3	3	1	L	0
17006	0	19	2	2	2	L	8192
17008	256	36	3	3	1	L	0
17010	0	36	3	3	1	E	0
17140	0	24	8	63	3	W	0
17212	0	29	2	2	2	L	0
17220	0	29	2	2	2	L	256
17222	256	29	2	2	2	W	256
17226	0	31	2	2	1	L	0
17236	0	29	2	2	2	L	0
17236	256	31	2	2	1	L	0
17238	0	31	2	2	1	E	0
17248	0	16	2	2	2	L	0
17261	0	31	2	2	1	L	0
17269	0	29	2	2	2	L	256
17271	256	29	2	2	2	W	256
17272	0	29	4	4	2	L	0
17293	256	31	2	2	1	L	0
17295	0	31	2	2	1	E	0
17297	0	31	2	2	1	L	0
17305	0	29	4	4	2	L	256
17307	256	29	4	4	2	W	256
17310	0	29	2	2	2	L	0
17331	256	31	2	2	1	L	0
17333	0	31	2	2	1	E	0
17335	0	31	2	2	1	L	0
17342	0	31	2	2	1	L	0
17343	0	29	2	2	2	L	256
17345	256	29	2	2	2	W	256
17346	0	19	2	2	2	L	8192
17352	0	29	2	2	2	L	0
17377	256	31	2	2	1	L	0
17379	0	31	2	2	1	E	0
17480	0	24	8	63	3	W	0
17552	0	29	4	4	2	L	0
17557	0	29	4	4	2	L	256
17560	256	29	4	4	2	W	256
17572	0	31	2	2	1	L	0
17577	0	36	3	3	1	L	0
17582	0	19	2	2	2	L	8192
17587	0	18	2	2	2	L	0
17590	0	18	2	2	2	L	256
17593	256	18	2	2	2	W	256
17610	256	31	2	2	1	L	0
17612	0	31	2	2	1	E	0
17618	0	29	2	2	2	L	0
17626	0	29	2	2	2	L	256
17628	256	29	2	2	2	W	256
17652	256	31	2	2	1	L	0
17654	0	31	2	2	1	E	0
17655	256	31	2	2	1	L	0
17658	0	31	2	2	1	E	0
17664	0	29	4	4	2	L	256
17666	256	29	4	4	2	W	256
17669	0	29	2	2	2	L	256
17672	256	29	2	2	2	W	256
17686	256	31	2	2	1	L	0
17688	0	31	2	2	1	E	0
17693	256	31	2	2	1	L	0
17695	0	31	2	2	1	E	0
17720	0	24	8	63	3	W	0
17792	0	29	4	4	2	L	0
17797	0	29	4	4	2	L	256
17802	0	29	2	2	2	L	256
17800	256	29	4	4	2	W	256
17806	256	29	2	2	2	W	256
17812	0	31	2	2	1	L	0
17819	256	31	2	2	1	L	0
17821	0	31	2	2	1	E	0
17822	0	29	4	4	2	L	0
17830	256	36	3	3	1	L	0
17832	0	36	3	3	1	E	0
17831	0	29	4	4	2	L	256
17833	256	29	4	4	2	W	256
17839	0	31	2	2	1	L	0
17842	0	17	2	2	2	L	256
17844	256	17	2	2	2	W	256
17857	256	31	2	2	1	L	0
17859	0	31	2	2	1	E	0
17868	0	29	2	2	2	L	256
17870	256	29	2	2	2	W	256
17874	0	29	4	4	2	L	0
17879	0	19	2	2	2	L	8192
17895	0	31	2	2	1	L	0
18012	0	24	8	60	3	W	0
18081	0	29	4	4	2	L	256
18083	256	29	4	4	2	W	256
18086	0	29	4	4	2	L	0
18106	0	31	2	2	1	L	0
18110	256	31	2	2	1	L	0
18112	0	31	2	2	1	E	0
18116	0	29	4	4	2	L	0
18122	0	29	4	4	2	L	256
18124	256	29	4	4	2	W	256
